284,18293,18980,2017-02,888020,UNASSIGNED,PAD SCRUBBING GENERAL PURPOSE -- 3 X 4.5 INCH GREEN,32,21.4133333,685.2266656
285,18293,18980,2017-02,888021,UNASSIGNED,PAD SCOURING HEAVY DUTY #86 -- 6X9 GREEN SCOTCH BRITE,80,41.2242857,3297.942856
286,18293,18980,2017-02,888023,UNASSIGNED,SPONGE SCRUBBING MED DUTY -- ABRASIVE PAD ABSORBENT SPONGE,56,29.9,1674.4
287,18293,18980,2017-02,888027,UNASSIGNED,PAD SCOURING NO SCRATCH WHITE -- THICK 3.5X5,22,25.63,563.86
288,18293,18980,2017-02,888048,UNASSIGNED,GRILL CLEANING PAD #82 -- HD GRIDDLE PAD NO HANDLE,60,46.32,2779.2
289,18293,18980,2017-02,888064,UNASSIGNED,GRIDDLE POLISH PAD 4X5.25IN -- SCOTCH BRITE NYLON,118,37.76,4455.68
290,18293,18980,2017-02,888065,UNASSIGNED,GRILL PAD POINT,480,6.2,2976
291,18293,18980,2017-02,888066,UNASSIGNED,CLEANER QUICK CLEAN GRIDDLE -- LIQUID PACKETS RESUPPLY,596,34.9,20800.4
292,18293,18980,2017-02,888068,UNASSIGNED,CLEANER QUICK CLEAN GRIDDLE -- STARTER KIT,11,52.52,577.72
293,18293,18980,2017-02,888071,UNASSIGNED,GRILL PAD HEAVY DUTY ORANGE -- 4X5.25 FOR QUICK CLEAN SYSTEM,174,11.48,1997.52
294,18293,18980,2017-02,891311,UNASSIGNED,SQUEEGEE REFILL 7.75IN SCRAPER -- FOR 891312,1,9.81,9.81
295,18293,18980,2017-02,908886,EDI,SPECIAL ORDER/CUSTOMER ITEM,20,57.83,1156.6
296,18293,18980,2017-02,980008,UNASSIGNED,PAD SCOUR/SCRUB BLUE 5.5 X 3.9 -- HEAVY DUTY LESS ABRASIVE,102,10.67,1088.34
297,18293,18980,2017-03,102280,UNASSIGNED,TAPE MASKING TAN -- 48 MM X 55 M 5.1 MIL,59,60,3540
298,18293,18980,2017-03,888002,UNASSIGNED,GRILL CLEANER LIQUID -- SCOTCH BRITE,56,34.77,1947.12
299,18293,18980,2017-03,888003,UNASSIGNED,PAD SCOURING 6 X 9 #96 -- GENERAL PURPOSE MEDIUM WEIGHT,30,26.195,785.85
300,18293,18980,2017-03,888004,UNASSIGNED,PAD SCOUR STAINLESS STEEL -- 1.75 OZ,13,16.99,220.87
301,18293,18980,2017-03,888007,UNASSIGNED,PAD SCOURING PURPLE -- SCOTCH BRITE,116,13.4,1554.4
302,18293,18980,2017-03,888012,UNASSIGNED,PAD SCRUBBING GENERAL PURPOSE -- 3.0X4.5,30,14.92,447.6
303,18293,18980,2017-03,888017,UNASSIGNED,SCRUBBER POT & PAN HANDLER -- 5X3.5 EXTRA HD SCRUBBER BLUE,240,28.2471429,6779.314296
304,18293,18980,2017-03,888020,UNASSIGNED,PAD SCRUBBING GENERAL PURPOSE -- 3 X 4.5 INCH GREEN,47,21.4133333,1006.4266651
305,18293,18980,2017-03,888021,UNASSIGNED,PAD SCOURING HEAVY DUTY #86 -- 6X9 GREEN SCOTCH BRITE,110,41.26,4538.6
306,18293,18980,2017-03,888023,UNASSIGNED,SPONGE SCRUBBING MED DUTY -- ABRASIVE PAD ABSORBENT SPONGE,28,29.9,837.2
307,18293,18980,2017-03,888048,UNASSIGNED,GRILL CLEANING PAD #82 -- HD GRIDDLE PAD NO HANDLE,86,46.32,3983.52
308,18293,18980,2017-03,888056,UNASSIGNED,GRILL PAD HOLDER -- FOR GRILL PAD #82,1,130.23,130.23
309,18293,18980,2017-03,888064,UNASSIGNED,GRIDDLE POLISH PAD 4X5.25IN -- SCOTCH BRITE NYLON,175,37.88,6629
310,18293,18980,2017-03,888065,UNASSIGNED,GRILL PAD POINT,732,6.2,4538.4
311,18293,18980,2017-03,888066,UNASSIGNED,CLEANER QUICK CLEAN GRIDDLE -- LIQUID PACKETS RESUPPLY,648,34.9,22615.2
312,18293,18980,2017-03,888068,UNASSIGNED,CLEANER QUICK CLEAN GRIDDLE -- STARTER KIT,13,52.52,682.76
313,18293,18980,2017-03,888071,UNASSIGNED,GRILL PAD HEAVY DUTY ORANGE -- 4X5.25 FOR QUICK CLEAN SYSTEM,242,11.48,2778.16
314,18293,18980,2017-03,891311,UNASSIGNED,SQUEEGEE REFILL 7.75IN SCRAPER -- FOR 891312,1,9.81,9.81
315,18293,18980,2017-03,891312,UNASSIGNED,SQUEEGEE GRILL CLEANING,8,11.57,92.56
316,18293,18980,2017-03,980008,UNASSIGNED,PAD SCOUR/SCRUB BLUE 5.5 X 3.9 -- HEAVY DUTY LESS ABRASIVE,102,10.67,1088.34
317,18293,18980,2017-03,980134,UNASSIGNED,SCRUB PAD FLOOR BROWN,2,30.38,60.76
318,18293,18980,2017-03,990069,EDI,SPECIAL ORDER/CUSTOMER ITEM,1,11.29,11.29
319,18293,18980,2017-03,997139,EDI,SPECIAL ORDER/CUSTOMER ITEM,2,12,24
320,18293,18980,2017-04,100662,UNASSIGNED,PAD SCRUBBING 17IN RED ROUND -- FLOOR PAD,6,19.28,115.68
321,18293,18980,2017-04,102280,UNASSIGNED,TAPE MASKING TAN -- 48 MM X 55 M 5.1 MIL,16,60,960
322,18293,18980,2017-04,107529,UNASSIGNED,PAD ERASING 2.8INX4.5INX1.2IN,25,13.1,327.5
323,18293,18980,2017-04,888002,UNASSIGNED,GRILL CLEANER LIQUID -- SCOTCH BRITE,104,34.77,3616.08
324,18293,18980,2017-04,888003,UNASSIGNED,PAD SCOURING 6 X 9 #96 -- GENERAL PURPOSE MEDIUM WEIGHT,18,26.09,469.62
325,18293,18980,2017-04,888004,UNASSIGNED,PAD SCOUR STAINLESS STEEL -- 1.75 OZ,23,16.99,390.77
326,18293,18980,2017-04,888007,UNASSIGNED,PAD SCOURING PURPLE -- SCOTCH BRITE,67,13.55,907.85
327,18293,18980,2017-04,888012,UNASSIGNED,PAD SCRUBBING GENERAL PURPOSE -- 3.0X4.5,15,14.92,223.8
328,18293,18980,2017-04,888017,UNASSIGNED,SCRUBBER POT & PAN HANDLER -- 5X3.5 EXTRA HD SCRUBBER BLUE,208,28.3433333,5895.4133264
329,18293,18980,2017-04,888020,UNASSIGNED,PAD SCRUBBING GENERAL PURPOSE -- 3 X 4.5 INCH GREEN,44,21.24,934.56
330,18293,18980,2017-04,888021,UNASSIGNED,PAD SCOURING HEAVY DUTY #86 -- 6X9 GREEN SCOTCH BRITE,86,41.385,3559.11
331,18293,18980,2017-04,888023,UNASSIGNED,SPONGE SCRUBBING MED DUTY -- ABRASIVE PAD ABSORBENT SPONGE,28,29.9,837.2
332,18293,18980,2017-04,888027,UNASSIGNED,PAD SCOURING NO SCRATCH WHITE -- THICK 3.5X5,8,25.63,205.04
333,18293,18980,2017-04,888048,UNASSIGNED,GRILL CLEANING PAD #82 -- HD GRIDDLE PAD NO HANDLE,50,46.32,2316
334,18293,18980,2017-04,888064,UNASSIGNED,GRIDDLE POLISH PAD 4X5.25IN -- SCOTCH BRITE NYLON,195,37.32,7277.4
335,18293,18980,2017-04,888065,UNASSIGNED,GRILL PAD POINT,740,6.2,4588
336,18293,18980,2017-04,888066,UNASSIGNED,CLEANER QUICK CLEAN GRIDDLE -- LIQUID PACKETS RESUPPLY,608,34.9,21219.2
337,18293,18980,2017-04,888068,UNASSIGNED,CLEANER QUICK CLEAN GRIDDLE -- STARTER KIT,25,52.82,1320.5
338,18293,18980,2017-04,888071,UNASSIGNED,GRILL PAD HEAVY DUTY ORANGE -- 4X5.25 FOR QUICK CLEAN SYSTEM,277,11.48,3179.96
339,18293,18980,2017-04,891312,UNASSIGNED,SQUEEGEE GRILL CLEANING,2,11.57,23.14
340,18293,18980,2017-04,980008,UNASSIGNED,PAD SCOUR/SCRUB BLUE 5.5 X 3.9 -- HEAVY DUTY LESS ABRASIVE,156,10.8575,1693.77
341,18293,18980,2017-04,980134,UNASSIGNED,SCRUB PAD FLOOR BROWN,2,30.38,60.76
342,18293,18980,2017-04,998729,EDI,SPECIAL ORDER/CUSTOMER ITEM,2,48.82,97.64
343,18293,18980,2017-05,102280,UNASSIGNED,TAPE MASKING TAN -- 48 MM X 55 M 5.1 MIL,85,60,5100
344,18293,18980,2017-05,888002,UNASSIGNED,GRILL CLEANER LIQUID -- SCOTCH BRITE,114,34.77,3963.78
345,18293,18980,2017-05,888003,UNASSIGNED,PAD SCOURING 6 X 9 #96 -- GENERAL PURPOSE MEDIUM WEIGHT,90,25.88,2329.2
346,18293,18980,2017-05,888004,UNASSIGNED,PAD SCOUR STAINLESS STEEL -- 1.75 OZ,53,16.99,900.47
347,18293,18980,2017-05,888007,UNASSIGNED,PAD SCOURING PURPLE -- SCOTCH BRITE,105,13.4,1407
348,18293,18980,2017-05,888012,UNASSIGNED,PAD SCRUBBING GENERAL PURPOSE -- 3.0X4.5,15,14.92,223.8
349,18293,18980,2017-05,888017,UNASSIGNED,SCRUBBER POT & PAN HANDLER -- 5X3.5 EXTRA HD SCRUBBER BLUE,208,28.0933333,5843.4133264
350,18293,18980,2017-05,888020,UNASSIGNED,PAD SCRUBBING GENERAL PURPOSE -- 3 X 4.5 INCH GREEN,76,21.448,1630.048
351,18293,18980,2017-05,888021,UNASSIGNED,PAD SCOURING HEAVY DUTY #86 -- 6X9 GREEN SCOTCH BRITE,96,41.26,3960.96
